<165>,2024-01-07 04:32:12,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface transceiver 1/1'
<165>,2024-01-07 04:32:12,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface 1/1'
<165>,2024-01-07 04:32:13,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'no logging monitorinternal2 9448'
<165>,2024-01-07 04:32:13,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'end'
<165>,2024-01-07 04:33:13,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface transceiver 1/1'
<165>,2024-01-07 04:33:13,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface 1/1'
<165>,2024-01-07 04:33:13,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'no logging monitorinternal2 9457'
<165>,2024-01-07 04:33:13,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'end'
<165>,2024-01-07 04:34:14,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface transceiver 1/1'
<165>,2024-01-07 04:34:14,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface 1/1'
<165>,2024-01-07 04:34:14,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'no logging monitorinternal2 9470'
<165>,2024-01-07 04:34:14,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'end'
<165>,2024-01-07 04:35:14,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface transceiver 1/1'
<165>,2024-01-07 04:35:14,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface 1/1'
<165>,2024-01-07 04:35:14,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'no logging monitorinternal2 9479'
<165>,2024-01-07 04:35:14,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'end'
<165>,2024-01-07 04:36:15,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface transceiver 1/1'
<165>,2024-01-07 04:36:15,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface 1/1'
<165>,2024-01-07 04:36:15,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'no logging monitorinternal2 9488'
<165>,2024-01-07 04:36:15,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'end'
<165>,2024-01-07 04:37:15,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface transceiver 1/1'
<165>,2024-01-07 04:37:16,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface 1/1'
<165>,2024-01-07 04:37:16,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'no logging monitorinternal2 9497'
<165>,2024-01-07 04:37:16,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'end'
<165>,2024-01-07 04:38:16,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface transceiver 1/1'
<165>,2024-01-07 04:38:16,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface 1/1'
<165>,2024-01-07 04:38:16,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'no logging monitorinternal2 9506'
<165>,2024-01-07 04:38:16,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'end'
<165>,2024-01-07 04:39:17,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface transceiver 1/1'
<165>,2024-01-07 04:39:17,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'sh interface 1/1'
<165>,2024-01-07 04:39:17,M6424,'Base,NOT SYS pts/1 root 192.168.0.157 'no logging monitorinternal2 9515'
